Robox Software Translations																													
	English	Simplified Chinese	Traditional Chinese	Italian	French	French (fprint)	Korean	German (Andreas)	German (Erik)	Spanish	Portuguese	Portuguese (Brazil)	Swedish	Danish	Polish	Dutch	Russian	Japanese	Thai	Greek	Turkish	Arabic	Persian	Hindi	German (CEI)	Punjabi	Czech Language	Finnish	Japanese
calibrationPanel.nozzleBCalibrationTitle	Needle valve calibration	开关针阀校准	噴咀開合校正		Calibration de la valve aguille		니들 밸브 교정	Kalibrieren des Nadelventils					Kalibrering av nålventilen				Калибровка игольчатого клапана	ニードルバルブキャリブレーション							Kalibrieren des Nadelventils		Kalibrace jehlového ventilu	Neulaventtiilin kalibrointi	ニードルバルブキャリブレーション
calibrationPanel.nozzleCalibrationFailed	Sorry, it seems nozzle opening calibration has failed.\n\nBefore contacting us, please repeat the calibration, being sure you have read and followed the instructions carefully. Ensure the nozzles are clean and material is running freely with good clean output from both nozzles - if in doubt, run the purge sequence again (in Maintenance).\n\nIf your product repeatedly fails the calibration tests, please take a look at the solutions available at http://robox.freshdesk.com - if you are still unable to resolve your issue, please raise a support ticket, and we will get in touch as soon as we can. 	校准失败，请联系CEL客服	噴咀校正失敗\n請聯絡CEL技術支援\n		Désolé, il semble que la calibration de l’ouverture du jet est échoué, avant de nous contacter, veuillez répéter l’étape de calibration en vous assurant d’avoir soigneusement lu les instructions. Assurez vous de la propreté des 2 jets que la matière coule librement de ces derniers avec une qualité propre. Dans le doute démarrer la sequence de purge (dans la section maintenance) si les test de calibration échoue a repetition, veuillez regarder les solutions disponible sur http://robox.freshdesk.com - si toutes les étapes si dessus ont échoué veuillez ouvrir un ticket avec notre support technique, nous vous contacterons dans les plus brefs délais.		노즐 교정 실패\n CEL 지원부에 연락하세요\n	Kalibrieren der Düse fehlgeschlagen.\nKontaktieren Sie den CEL-Support.\n		Preparación extrusor			Kalibrering av munstycket misslyckades\nKontakta CEL:s kundtjänst\n				Калибровка сопла не удалась\nОбратитесь в службу поддержки CEL\n	ノズルキャリブレーションは失敗しました\nCELのサポートセンターに連絡して下さい。\n							Bedaure, die Kalibrierung der Düsenöffnung ist scheinbar fehlgeschlagen.\n\nBitte wiederholen Sie die Kalibrierung und vergewissern Sie sich, dass Sie die Anweisungen sorgfältig gelesen und befolgt haben, bevor Sie Kontakt mit uns aufnehmen. Stellen Sie sicher, dass die Düsen sauber sind und dass das Material frei sowie in einem guten sauberen Zustand aus beiden Düsen fließt. Führen Sie im Zweifelsfall die Reinigungssequenz (in Wartung) durch.\n\nWenn die Kalibrierung Ihres Produkts weiterhin fehlschlägt, dann sehen Sie sich bitte die unter http://robox.freshdesk.com aufgeführten Lösungen an. Falls Sie Ihr Problem dennoch nicht lösen können, generieren Sie bitte ein Support-Ticket. Wir werden uns dann sobald wir können mit Ihnen in Verbindung setzen.		Kalibrace trysek neuspěla\nObraťte se na podporu CEL\n	Suuttimen kalibrointi epäonnistui\nOle yhteydessä CEL:n tukeen\n	ノズルキャリブレーションは失敗しました\nCELのサポートセンターに連絡して下さい。\n
calibrationPanel.nozzleOffsetCalibrationTitle	Nozzle offset calibration	喷嘴偏移校正	噴咀偏差校正		claibration offset du jet		노즐 오프셋 측정	Kalibrieren des Düsenabstands		Presione una tecla cuando el material comience a fluir			Kalibrering av munstycksavståndet				Калибровка смещения сопла	ノズル補正キャリブレーション							Kalibrieren des Düsenabstands		Kalibrace korekce trysky	Suutinetäisyyden kalibrointi	ノズル補正キャリブレーション
calibrationPanel.peiBedRemoved	Press Start	按下开始	請按「開始」		Appuyez sur ‘start’		시작을 누릅니다.	Drücken Sie Start		Presione una tecla para continuar			Tryck Start				Нажмите Старт	スタートボタンを押して下さい							Drücken Sie Start		Stisknout tlačítko Start	Paina Käynnistä	スタートボタンを押して下さい
calibrationPanel.parkingMessage	Parking filament	送料中	推進物料中		Stationnement du filament		필라멘트 안착	Filament einlegen		Cebado del inyector			Filamentet monteras				Остановка								Filament einlegen		Zavedení struny	Asennetaan filamentti	
calibrationPanel.preparingExtruder	Preparing extruder	准备挤出	準備推料器中		Preparation de l’extruder		압출기 준비	Extruder vorbereiten 		Esta prueba calibrará la diferencia en la altura entre cada una de los inyectores y el desplazamiento necesario para imprimir la primera capa de la distancia correcta de la superficie de construcción. \nUsted necesitará un par de pinzas. \nRetire la cama PEI antes de iniciar la calibración.			Förbereder extrudern				Подготовка экструдера	エクストルーダーを準備しています							Extruder vorbereiten		Příprava pohonu	Valmistellaan suulakepuristin	エクストルーダーを準備しています
calibrationPanel.pressAKey	Press a key when material starts to flow	请按键开始挤料	當物料開始流出時請按任意鍵		appuyez sur une touche quand la matière commence a sortir		소재가 나오기 시작하면 키를 누릅니다.	Drücken Sie eine Taste, wenn das Material zu fließen beginnt.		Esta prueba calibrará el punto de apertura de la válvula de aguja. \ nUsted necesita un carrete de SmartReel cargado en el Robox y un par de pinzas. La prueba va a alimentar el material al cabezal y fundirlo. Para cada válvula se le preguntará si hay material que fluye hacia fuera, la prueba abrirá el inyector en forma gradual y le pedirá que controle en cada etapa el flujo de material. Una vez que haya confirmado que está fluyendo se guardarán los valores y la prueba pasará.			Tryck på en knapp när materialet börjar flöda				Нажмите любую кнопку, когда начнет вытекать материал	材料が流れ始めたらキーを押して下さい							Drücken Sie eine Taste, wenn das Material zu fließen beginnt.		Když materiál začne tát, stiskněte tlačítko	Paina näppäintä kun materiaali alkaa virrata	材料が流れ始めたらキーを押して下さい
calibrationPanel.pressAKeyToContinue	Press a key to continue	请按键继续	請按任意鍵以繼續		appuyez sur une touche pour continuer		계속하려면 키를 누릅니다.	Drücken Sie eine Taste, um fortzufahren.		Recalibrar			Tryck på en knapp för att fortsätta				Нажмите любую кнопку для продолжения	継続する為にキーを押してください							Drücken Sie eine Taste, um fortzufahren.		Stiskněte tlačítko pro pokračování	Paina näppäintä jatkaaksesi	継続する為にキーを押してください
calibrationPanel.primingNozzle	Priming nozzle	启动喷嘴	填充噴咀中		Amorçage du jet		노즐 프라이밍	Vorbereitung der Düse		Reinstalar la cama de PEI			Grundning av munstycke				Заливка сопла	点火ノズル							Vorbereitung der Düse		Plnění trysky	Suuttimen pohjustus	点火ノズル
calibrationPanel.printingCaps	PRINTING...				IMPRESSION…								SKRIVER UT…				Печать….								DRUCK…		TISK…	TULOSTETAAN…	
calibrationPanel.readyToBeginNozzleOffsetCalibration	If you are having problems with layer adhesion or inconsistencies in the height of the first few layers, please complete this calibration sequence. \n\nAs the print head switches between nozzles, the nozzle which is not printing is lifted up and out of the way of the print. Therefore the software needs to know the difference in height between the two nozzles when they are in their printing position. This routine calibrates that lift height. 	本次试验将校准每个喷嘴的偏移和打印时的高度差。你需要一个镊子。\n拿去PEI板后开始校准。\n\n请保持保护盖开启。	這個測試將會校正兩個噴咀之間的高度差和準確打印第一層所需要的修正幅度。\n您會需要一把小夾鉗。\n開始前請先移除PEI板。\n\n確保前門開啟		La routine suivante est utilisé pour calibré la hauteur de levage du jet. Lorsque la tete bascule d’un jet a l’autre, le jet qui n’imprime pas est relevé pour ne pas perturber l’impression. C’est pour cela que le logiciel a besoin de connaitre la différence de hauteur entre les deux jets quand ces derniers sont en position d’impression.Si vous rencontrez des problèmes avec l’adherence des couches de matière ou une inconsistence concernant la hauteur des premieres couches de matière, veuillez completer cette sequence de calibration.		이 테스트는 출력 표면으로부터 정확한 거리에 첫 번째 층을 인쇄하기 위해 필요한 높이 오프셋과 각 노즐 간 높이에 대한 차이를 측정합니다. 한 쌍의 핀셋이 필요합니다. 측정을 시작하기 전에 PEI 베드를 제거합니다.	Mit diesem Test wird der Höhenunterschied zwischen den Düsen und der zum Drucken der ersten Schicht in korrekter Entfernung von der Aufbaufläche erforderliche Abstand kalibriert\nSie benötigen dazu eine Pinzette. \nEntfernen Sie vor Beginn der Kalibrierung das PEI-Bett.\n\nStellen Sie sicher, das die Druckertür geöffnet ist.		Guardar configuración			Denna rutin kalibrerar munstyckenas lyfthöjd. Då skrivarhuvudet byter mellan munstyckena, lyfts munstycket som inte skriver upp och bort ur vägen. Därmed måste programvaran veta höjdskillnaden mellan munstyckena då de är i utskriftsposition.\n\nOm du har problem med lagrens adhesion eller om det förekommer oenligheter i tjockleken av de några första lagren, var god och utför denna kalibreringsfas.				Этот тест откалибрует разницу в высоте между каждым из сопел и требуемое смещение для печати первого слоя на правильном расстояния от поверхности конструкции.\n Вам понадобится пинцет. \n Удалите платформу PEI перед началом калибровки.\n\n Убедитесь, что крышка принтера открыта.	この試験はノズルのそれぞれの間の高さの相違とビルト面からの正しい距離で第1層に必要とされるオフセットをキャリブレートします。\nピンセット2個を必要とします。 \nキャリブレーションを開始する前にPEI 印刷台を取り除いて下さい。							Diese Routine wird verwendet, um die Hubhöhe der Düse zu kalibrieren. Wenn die Düsen am Druckkopf gewechselt werden, wird die Düse, die nicht druckt, angehoben und aus dem Druckweg entfernt. Daher muss die Software die Höhendifferenz zwischen den beiden Düsen kennen, wenn diese sich in ihrer Druckposition befinden\n\nWenn Sie Probleme mit der Schichthaftung oder Unstimmigkeiten bezüglich der Höhe der ersten paar Schichten haben, dann führen Sie bitte diese Kalibrierungssequenz durch.		Tato úloha se používá pro kalibraci výšky zdvihu trysky. Jak tisková hlava přepíná mezi tryskami, tryska, která netiskne, se mírně zvedá. Proto software potřebuje znát výškový rozdíl mezi dvěma tryskami v tiskových pozicích. \n\nPokud máte problémy s přilnavostí vrstvy nebo nesrovnalostí ve výšce několika prvních vrstev, dodělejte, prosím tuto kalibrační sekvenci.	Tämä rutiini kalibroi suuttimen nostokorkeuden. Kun tulostuspää vaihtelee suuttimien välillä, suutin joka ei tulosta nostetaan ylös ja pois tieltä. Näin ollen ohjelmiston täytyy tietää suuttimien välisen korkeuseron niiden ollessa tulostusasennossa.\n\nJos sinulla on ongelmia kerroksien tarttuvuuden kanssa tai muutaman ensimmäisten kerrosten korkeuksissa on epäsäännöllisyyttä, ole hyvä ja suorita tämä kalibrointivaihe.	このテストはノズルのそれぞれの間の高さの相違とビルト面からの正しい距離で第1層に必要とされるオフセットをキャリブレートします。\nピンセット2個を必要とします。 \nキャリブレーションを開始する前にPEI 印刷台を取り除いて下さい。
calibrationPanel.readyToBeginNozzleOpeningCalibration	This routine is used to calibrate the point at which the needle valves in the head operate. The firmware has to know the point at which the plastic begins to flow in order to accurately control extrusion.\n\nBefore beginning the calibration sequence ensure that the bed is clear of objects, the nozzles are clean and you have a SmartReel loaded. A pair of tweezers/small pliers would also be helpful for removing waste filament. 	本次测试将测试针阀开关，请将耗材装上robox，并准备一把镊子。测试过程会融化材料。将会问你每个喷嘴是否有材料挤出，测试将会以小的增量打开喷嘴，让你再每个阶段检查材料挤出。一旦你确定它是正常出料的，数值将被保存，测试将继续\n\nEnsure the printer door is open.	這個測試將會校正噴咀的開關點。\n您會需要安裝SmartReel材料到ROBOX中和一把小夾鉗。這個測試會輸送和熔化物料。測試會詢問您物料有否從各個噴咀中出來，測試會每次逐漸打開閥門然後詢問您物料有否流出。當您確認物料開始流出時，該開關點便會儲存然後繼續測試。		la routine suivante est utilisé pour calibrer  le point sur lequel la valves aiguilles présente dans la tete d’impression opère, le micrologiciel doit maintenant connaitre avec precision le pint exact a partir du quel le plastic commence a couler dans le but de contrôler l’extrusion avec précision. avant de commencer la sequence de calibration assurez vous que le plateau est libre de tout objets et que les jets sont propres, aussi assurez vous que votre SmartReel est chargé . Le filament doit aussi couler librement des deux jets - dans le doute démarrer la sequence de purge dans le menu maintenance. De petite pince et une pince a épiler seront utile pour enlever l’excéd de filament.		이 테스트는 니들 밸브 오픈 지점을 측정합니다. ROBOX에 로딩된 SmartReel 소재와  핀셋이 필요합니다. 소재를 헤드 쪽으로 공급하여 이것을 녹이는 테스트입니다. 각 밸브마다 소재가 제대로 흘러나오는지 확인이 필요하며, 노즐은 작은 단위로 열리게 됩니다. 또한 각 단계마다 소재의 흐름을 체크해야 합니다.. 소재가 제대로 흐르고 있는지 확인 완료한 경우, 밸브는 저장되고 테스트는 계속 진행됩니다.	Mit diesem Test wird die Offenstellung des Nadelventils kalibriert.\nSie müssen dazu SmartReel-Material in den Robox einlegen und eine Pinzette bereithalten. Während des Tests wird Material zum Kopf geführt und geschmolzen. Bei jedem Ventil werden Sie gefragt, ob Material austritt. Während des Tests werden die Düse in kleinen Schritten geöffnet und Sie gebeten, in jeder Phase zu überprüfen, ob Material austritt. Sobald Sie bestätigt haben, dass Material austritt, werden die Werte gespeichert und der Test fortgeführt. \n\nStellen Sie sicher, das die Druckertür geöffnet ist.		Iniciar calibración			Denna rutin kalibrerar skrivarhuvudets nålventiler. Programvaran måste veta när plastet börjar flöda för att kunna reglera extruderingen noggrant.\n\Innan du påbörjar kalibreringen, se till att bädden är tom, munstyckena är rena och att SmartReel är laddat i skrivaren. Filamentet måste även flöda fritt ur båda munstyckena -om du tvivlar, utför rengöringssekvensen i Underhåll. En pinsett är bra för att avlägsna filamentrester.				Этот тест откалибрует отверстие в игольчатом клапане. \n Вам понадобится материал SmartReel, загруженный в Robox, и пинцет. Материал будет подаваться на головку для расплавления. Для каждого клапана тест спросит, течет ли из него материал. Сопло будет приоткрываться поэтапно, и тест на каждом этапе будет спрашивать, течет ли из сопла материал. После подтверждения того, что материал вытекает, значения будут сохранены и тест будет продолжаться дальше.	この試験はニードルバルブの開放点をキャリブレートします。\nRoboxに搭載するSmartReelの材料とピンセット2個が必要です。この試験は材料をヘッドに送り込み、材料を溶かします。各バルブで材料が流れ出ているか尋ねられ、この試験は小さい区切りでノズルを開け、それぞれのステージで材料が出ているか尋ねます。材料が流れているか一旦確認すると、その値が記録され試験は先へ進みます。							Diese Routine wird verwendet, um den Punkt zu kalibrieren, an dem die Nadelventile im Druckkopf agieren. Die Firmware muss den Punkt kennen, an dem der Kunststoff zu fließen beginnt, um die Extrusion genau steuern zu können.\n\nStellen Sie vor dem Beginn der Kalibrierungssequenz sicher, dass das Bett frei von Objekten ist, die Düsen sauber sind und Sie eine SmartReel geladen haben. Ebenso muss Filament frei aus beiden Düsen fließen. Führen Sie im Zweifelsfall die unter 'Wartung' aufgeführte Reinigungssequenz durch. Eine Pinzette bzw. eine kleine Zange ist ebenso hilfreich, um überflüssiges Filament zu entfernen.		Tato úloha se používá pro kalibraci bodu, ve kterém pracují jehlové ventily. Firmware musí znát bod tání tiskové struny, aby přesně řídil vytlačování.\n\nPřed začátkem kalibrační sekvence zkontrolujte, zda podložka je bez objektů, trysky jsou čisté a cívka SmartReel je připravena. Náplň musí volně téct z obou trysek -pokud si nejste jisti, spusťte čistící sekvenci v části Údržba. Pinzeta / malé kleště se můžou hodit pro odstraňování vytlačené struny.	Tämä rutiini kalibroi tulostuspään neulaventtiilit. Ohjelmiston täytyy tietää milloin muovi alkaa virtaamaan voidakseen säännöstellä pursuamista tarkasti.\n\nEnnen kalibroinnin aloittamista, varmista että alusta on tyhjä, suuttimet ovat puhtaat ja SmartReel on ladattuna tulostimeen. Filamentin on myös virrattava vapaasti molemmista suuttimista -jos sinulla on epäilyksiä, suorita puhdistussekvenssi Ylläpidossa. Pinseteillä on hyvä poistaa filamenttijätökset.	このテストはニードルバルブの開放点をキャリブレートします。\nRoboxに搭載するSmartReelの材料とピンセット2個が必要です。この試験は材料をヘッドに送り込み、材料を溶かします。各バルブで材料が流れ出ているか尋ねられ、この試験は小さい区切りでノズルを開け、それぞれのステージで材料が出ているか尋ねます。材料が流れているか一旦確認すると、その値が記録され試験は先へ進みます。
calibrationPanel.recalibrate	Recalibrate		重新校正		Recalibré		높이 재측정	Neu kalibrieren		Calibración			Återkalibrera				Перекалибруйте	再キャリブレートする							Neu kalibrieren		Rekalibrace	Kalibroi uudelleen	再キャリブレートする
calibrationPanel.reinsertPEIBed	Re-install the PEI bed	重新安装PIE板	請重新安裝PEI板		re-installer la platefrome PEI		PEI 베드 재설치	PEI-Bett neu installieren		Muy suelto			Återinstallera PEI-bädden				Переустановка платформы PEI	PEII 印刷台をインストールし直して下さい							PEI-Bett neu installieren		Vraťte na své místo PEI podložku	Asenna PEI-alusta uudelleen	PEII 印刷台をインストールし直して下さい
calibrationPanel.replacePEIBed	Replace the PEI bed by first sliding into the tray, ensuring the surface is beneath the clips on all sides. Slide all the way to the back, and then move the locking handle (highlighted) to the right to secure in place. Finally, re-insert the tip wipe blade and click Next to complete the calibration.				Remplacer le châssis PEI en la faisant glisser dans le tiroir, tout en s’assurant que la surfaces est en dessous des clips sur tout les cotés. Faire glisser le châssis jusqu’au fond, et pousser la poignée de fermeture vers la droite (sur-ligné) pour sécuriser la position de cette dernière. Pour finir re-insérer la pointe de la lame et clicker sur suivant pour completer la calibration.					Muy ajustado			Placera PEI-bädden tillbaka på plats genom att först skjuta in den i facket, medan du samtidigt säkerställer att ytan är under klämmorna på alla sidor. Skjut in ända bak, och vrid sedan låshandtaget (markerat) till höger för att låsa på plats. Till sist, lägg tillbaka spetsens torkblad och klicka på Följande föratt slutföra kalibreringen.				Для замены платформы PEI продвиньте ее в лоток таким образом, чтобы поверхность находилась ниже зажимов со всех сторон. Продвиньте назад, а затем переместите стопор(выделено) вправо, чтобы закрепить на месте. Наконец, снова вставьте очиститель пластика и нажмите кнопку "Далее", чтобы завершить калибровку.								Setzen Sie das PEI-Bett wieder ein, indem Sie es zuerst in das Tablett schieben und dabei sicherstellen, dass sich die Oberfläche auf allen Seiten unter den Clips befindet. Schieben Sie es den ganzen Weg zur Rückseite hin und bewegen Sie dann den Verriegelungsbügel (hervorgehoben) nach rechts, um es zu sichern. Setzen Sie zum Abschluss den Spitzenabstreifer wieder ein und klicken Sie auf Next (weiter), um die Kalibrierung abzuschließen.			Aseta PEI-alusta takaisin paikalleen liu'uttamalla se ensin lokeroon, samalla varmistaen että pinta on klipsien alapuolella kaikilla sivuilla. Liu'uta kokonaan taakse, ja käännä sitten lukituskahva (korostettu) oikealle lukitaksesi paikalleen. Viimeiseksi, aseta kärjen pyyhkimisterä takaisin paikalleen ja klikkaa Seuraava päättääksesi kalibroinnin.	
calibrationPanel.retryCalibration	Retry Calibration				Re-essayer la calibration					Inyectores cerrados - No debería visualizar material saliendo de ningún inyector			Försök kalibrering igen				Повторить калибровку								Kalibrierung wiederholen			Yritä kalibrointia uudelleen	
calibrationPanel.saveSettings	Save settings	储存设定	儲存設定		Sauvegarder les paramètres		저장	Einstellungen speichern		Inyector izquierdo abierto - Ahora debería visualizar material saliendo			Spara inställningarna				Сохранить настройки	設定を保存する							Einstellungen speichern		Uložit nastavení	Tallenna asetukset	設定を保存する
calibrationPanel.startCalibration	Start Calibration	开始校准	開始校正		Démarrer calibration		측정 시작	Kalibrierung starten		Inyector derecho abierto - Ahora debería visualizar material saliendo			Starta kalibreringen				Начало калибровки	キャリブレーション開始して下さい							Kalibrierung starten		Spustit kalibraci	Aloita kalibrointi	
calibrationPanel.targetTemperature	Target Temperature:				Temperature ciblé								Måltemperatur				Целевая температура:								Zieltemperatur:		Cílová teplota:	Tavoitelämpötila	
calibrationPanel.title	Calibration	校准	校正		Calibration		측정	Kalibrierung		Puentes de velocidad del ventilador			Kalibrering				Калибровка	キャリブレーション							Kalibrierung		Kalibrace	Kalibrointi	キャリブレーション
calibrationPanel.tooLoose	Too loose	太松	太鬆		Trop relaché		너무 느슨함	Zu lose		Desactivar ventilador por primera			För lös				Слишком свободный	緩すぎます							Zu lose		Příliš volné	Liian löysä	緩すぎます
calibrationPanel.tooTight	Too tight	太紧	太緊		Trop serré		너무 가까움	Zu fest		Habilitar refrigeración automática			För hård				Слишком тугой	きつすぎます							Zu fest		Příliš těsné	Liian tiukka	きつすぎます
calibrationPanel.valvesClosedNoMaterial	Now the nozzles are heated, you need to check if the nozzles are completely sealed when the valve is fully closed.\n\nDo you see any material coming from either nozzle? 	喷嘴是关闭的。你不应该看到有材料由喷嘴挤出\n	噴咀已關閉。\n您會看不到物料流出\n		Maintenant les jets sont chaud, vous devez vous assurez que les jets sont scellés quand la valve est complément fermé. Voyez vous de la matière sortir des jets?		노즐이 닫힙니다. 양쪽 노즐에서 흘러나오는 소재가 육안으로 보이지 않아야 합니다	Die Düsen sind geschlossen.\nEs sollte aus keiner Düse Material austreten.\n		Habilitar ventilador si tiempo de capa <			Munstyckena är nu värmada, granska att munstyckena är täta när ventilen är fullt stängd.\n\nSer du material komma ut ur munstyckena?				Сопла закрыты.\n Вы не должны видеть как материал вытекает из каждого сопла \n	ノズルは閉じられています。\nどちらのノズルからも材料が出てくるのが見えません。\n							Jetzt wo die Düsen erhitzt sind, müssen Sie überprüfen, ob die Düsen komplett versiegelt sind, wenn das Ventil vollständig geschlossen ist.\n\nSehen Sie irgendwelches Material aus einer der Düsen austreten?		Nyní jsou trysky zahřáté, je třeba zkontrolovat, zda jsou trysky zcela uzavřeny, když je ventil plně uzavřen.\n\nVidíte téct materiál z kterékoliv z trysek?	Suuttimet ovat nyt lämmitetty, tarkista että suuttimet ovat tiiviit kun venttiili on täysin kiinni.\n\nNäetkö materiaalia tulevan ulos suuttimista?	ノズルは閉じられています。\nどちらのノズルからも材料が出てくるのが見えません。\n
calibrationPanel.valvesClosedNoMaterialPostCalibration	AutoMaker will now verify the calibration.\n\n Is any material flowing from either nozzle?				AutoMaker va maintenant verifier la calibration. Premièrement, la fermeture des jets, aucune matière ne devrait sortir des jets, est ce correct?					Ajustes del ventilador			AutoMaker kontrollerar nu kalibreringen. Först, munstyckena stängda - det borde inte komma material ut ur munstyckena - stämmer detta?				Теперь AutoMaker проверит калибровку. Сначала закрытые сопла: из них не должен вытекать материал, верно?								AutoMaker wird die Kalibrierung nun verifizieren. Zuerst wird kontrolliert, ob die Düsen geschlossen sind. Es sollte aus keiner Düse Material fließen - ist dies korrekt?			AutoMaker tarkistaa nyt kalibroinnin. Ensin, suuttimet kiinni - suuttimista ei pitäisi tulla materiaalia - pitääkö paikkansa?	
calibrationPanel.valvesOpenMaterialExtruding	Now, nozzles open - you should see material flowing alternately from both nozzles - is this correct? 	左边的喷嘴打开—现在应该可以看到有材料挤出	左邊噴咀已開啟 - 物料開始流出		Maintenant l’ouvertures des jets - vous devriez voir de la matière sortir de ces derniers. est ce correct?		좌측 노즐 개방 - 이제 소재가 흘러나오는 것이 육안으로 보여야 합니다.	Linke Düse geöffnet – es sollte nun Material austreten		Velocidad del ventilador			Nu, munstyckena öppna - material borde komma ut ur båda munstyckena - stämmer detta?				Теперь открытые сопла: вы должны видеть, как материал вытекает из обоих сопел попеременно, верно?	左側のノズルが開いています。- 材料が今出ているのが見えます							Nun sind die Düsen offen und Sie sollten abwechselnd aus beiden Düsen Material fließen sehen. Ist dies korrekt?		Nyní jsou trysky otevřené - vidíte téct materiál střídavě z obou trysek?	Nyt, suuttimet auki - materiaalia pitäisi tulla molemmista suuttimista - pitääkö paikkansa?	左側のノズルが開いています。- 材料が今出ているのが見えます
calibrationPanel.valvesOpenMaterialExtruding1	Right nozzle open - material should now be seen flowing out	右边的喷嘴打开—现在应该可以看到有材料挤出	右邊噴咀已開啟 - 物料開始流出		Le jet droit est ouvert - de la matière devrait en sortir		우측 노즐 개방 - 이제 소재가 흘러나오는 것이 육안으로 보여야 합니다.	Rechte Düse geöffnet – es sollte nun Material austreten		Velocidad máxima			Höger munstycke öppet - material borde nu ses strömma ut				Правое сопло открыто. Вы должны видеть, как материал вытекает из сопла	右側のノズルが開いています。- 材料が今出ているのが見えます							Rechte Düse geöffnet – es sollte nun Material austreten		Pravá tryska otevřená - nyní byste měli vidět vytékající materiál	Oikea suutin auki - materiallin pitäisi nyt nähdä virtaavan ulos	右側のノズルが開いています。- 材料が今出ているのが見えます
calibrationPanel.xAndYIntroduction	If you are having problems with the fill and fine detail parts of the print being misaligned, please complete this calibration sequence.\n\nThis routine is used to set the alignment of the two printing nozzles in the X and Y direction. This allows Robox to know the location of each nozzle in respect to the other.\n\nPlease ensure that the bed is clean and clear of obstructions, you have already completed the nozzle opening and nozzle height calibrations and you have a SmartReel loaded and ready to print. If PLA is available then it is recommended to use that.				Si vous rencontrez des problèmes concernant le remplissage et  les petits details de vos impressions ne sont pas correctement alignés, veuillez completer la sequence de calibration.  Cette routine a pour but d'aligner les deux jets d’impression avec les direction X et Y. cela permettra a Robox de connaitre l’endroit précis ou se trouve les jets l’un par rapport a l’autre. Assurez vous que le châssis est propre est libéré de toutes obstructions, vous avez deja complété les calibrations d’ouverture et de hauteurs des jets et le SmartReel est chargé et prêt à imprimer.  					Impresión mínima			Denna rutin används för att ställa in munstyckenas inriktning i X- och Y-led. Detta hjälper Robox att identifiera båda munstyckenas placering i förhållande till varandra.\n\nOm du har problem med fyllningen och fina, detaljerade delar skrivs ut snett, var god och utför denna kalibreringssekvens.\n\nSäkra att bädden är ren och tom, att du har utfört munstyckenas öppnings- och höjdkalibrering och att SmartReel är laddat i apparaten och färdig för utskrivning. Klicka på Start för att påbörja kalibreringen.				Эта процедура используется для установки выравнивания двух печатных сопел в направлении X и Y. Это позволяет Robox знать местоположение каждого сопла по отношению к другому. \n\nЕсли вы испытываете проблемы с заливкой и перекосом мелких частей детали, то выполните эту калибровку. \n\nУбедитесь, что платформа очищена, закончена калибровка открытия и высоты сопел, катушка SmartReel загружена и готова к печати. Нажмите кнопку "Пуск", чтобы начать калибровку. 								Diese Routine wird verwendet, um die Ausrichtung der beiden Druckdüsen in X- und Y-Richtung einzustellen. Dies ermöglicht Robox, den Standort jeder Düse in Bezug auf die andere Düse zu kennen.\n\nWenn Sie Probleme bezüglich der Ausrichtung der Füllung und der fein detaillierten Teile des Drucks haben, dann führen Sie bitte diese Kalibrierungssequenz durch.\n\nBitte stellen Sie sicher, dass das Bett sauber und frei von Hindernissen ist, Sie die Kalibrierung der Düsenöffnung und der Düsenhöhe bereits abgeschlossen haben, Sie eine SmartReel geladen haben und alles zum Druck bereit ist. Klicken Sie auf Start, um mit der Kalibrierung zu beginnen.			Tätä rutiinia käytetään tulostussuuttimien linjauksen asettamiseksi X- ja Y-suunnassa. Tämä auttaa Roboxia tunnistamaan kummankin suuttimen sijainnin toisiinsa nähden.\n\nJos sinulla on ongelmia täytön ja hienojen, yksityiskohtaisten osien tulostuessa vinoon, ole hyvä ja suorita tämä kalibrointisekvenssi.\n\nVarmista että alusta on puhdas ja tyhjä, olet suorittanut suuttimien aukeamis- ja korkeuskalibroinnit ja että SmartReel on ladattuna laitteeseen ja on valmis tulostamaan. Klikkaa Käynnistä aloittaaksesi kalibroinnin.	
calibrationPanel.xAndYPrintPattern	AutoMaker will now print a calibration pattern - please wait...				AutoMaker va maintenant imprimer un modele de calibration - veuillez patineté					Velocidad de impresión mínima			AutoMaker skriver nu ut ett kalibreringsmönster - var god och vänta...				Сейчас AutoMaker напечатает шаблон калибровки, подождите…								AutoMaker druckt nun ein Kalibriermuster – bitte warten ...			AutoMaker tulostaa nyt kalibrointikuvion - ole hyvä ja odota...	
